id,region,year,policy,swb,ccs,hyd,oil,dac,lul,value,fuel_name
30010,on,2025,legislated,high,high,low,ref,no,high,527.4786008,electricity
30073,on,2025,legislated,ref,high,high,ref,no,high,529.258567,electricity
30136,on,2025,legislated,low,high,high,ref,no,high,531.3865133,electricity
30199,on,2025,legislated,high,high,high,ref,no,high,527.4684064,electricity
30262,on,2025,legislated,ref,high,ref,ref,yes,high,529.2652757,electricity
30325,on,2025,legislated,low,high,ref,ref,yes,high,531.3909362,electricity
30388,on,2025,legislated,high,high,ref,ref,yes,high,527.4734158,electricity
30451,on,2025,legislated,ref,high,low,ref,yes,high,529.2703197,electricity
30514,on,2025,legislated,low,high,low,ref,yes,high,531.3960037,electricity
30577,on,2025,legislated,high,ref,low,ref,no,high,527.4726323,electricity
30640,on,2025,legislated,high,high,low,ref,yes,high,527.4786008,electricity
30703,on,2025,legislated,ref,high,high,ref,yes,high,529.258567,electricity
